Power_mean,Amplitude_mean,Weighted_Mean_Frequency_mean,Power_std,Amplitude_std,Weighted_Mean_Frequency_std,Power_median,Amplitude_median,Weighted_Mean_Frequency_median,Genre
4642382143.142928,511.6685280042849,19725.62166408194,4466129028.684051,0.4056767595898343,10757.640394742248,3094677930.799511,511.8152861966355,18373.176788387762,[  340   254  1274 ... -2180 -1659 -1168]
3632613020.19692,511.7990955884349,14931.03847505935,5411164802.564712,0.2235009831327716,8168.239530291278,1962396647.6884491,511.8654458586115,12960.242416512476,[-1755 -3074 -3141 ...  1022   953   825]
4586979842.357878,511.618562599771,17025.758974148805,6719622577.147212,0.45442335410015067,11975.657578007536,2581687023.6583176,511.7774195166832,14181.629251517628,[-1705 -2892 -3230 ...   313   482   578]
4871757830.238786,511.534083190839,15951.70409522619,5609176793.863129,0.7001463160784162,10656.474564069586,3811690745.540558,511.744589370512,13795.938004367508,[ -650 -1883 -2957 ...  3011  3309  3270]
5632626148.236109,511.5810538387944,19054.034421106506,6841182281.6500435,0.9142686477675835,12764.43679089635,3777713089.8702307,511.83435874817184,16649.780918448236,[  1314   1835   1293 ... -11311 -11665 -10697]
5510132712.198256,511.8292894754377,18650.70798872608,5154592659.8388815,0.19517967703099143,11621.851432967273,4262225826.517624,511.89167079818935,16832.010265279496,[ 7576  8504  2513 ... -1293 -1491 -1452]
5971190844.18672,511.74561361529294,16377.7409923658,5991255039.354716,0.29231783084776713,8247.549696870234,3816652058.387665,511.85105995377853,15276.900341955788,[ -611 -1152  -256 ...  -669  -811  -911]
4246082434.779812,511.79242957589105,16149.413045117111,4653454879.231747,0.21353522485459583,9707.735504874356,3280550889.8345184,511.86009588329273,14306.484117721127,[ -435  -838  -730 ... -1243 -1073  -965]
5490265746.885846,511.7751712475578,17242.633855597913,5487634323.362557,0.2181046862232077,10120.278705397679,4143945485.2472105,511.84902911516235,15328.287018105675,[ 1190  1742  1603 ...   647  -446 -1537]
4108114594.140306,511.4335809744839,13248.89628234222,4814628688.216663,0.909023706008605,9223.112763032706,2867035529.8433642,511.7447742064756,11531.388284009401,[-1797 -2892 -2647 ...  5589  6047  5030]
2427727605.243216,511.89909671361266,12097.8565805046,3602091896.239174,0.09070911775623812,8610.960865111116,1050973781.8069226,511.9226352775101,9942.230465819554,[-189 -216  -53 ... 1718 2245 2271]
3493180494.4696274,510.8274415676734,14271.99157922992,4720911153.970372,1.8404112022813335,10589.579858874065,1647331708.2047193,511.5148488219476,11075.324025732203,[ -862  -943  -442 ... -1827 -1964 -1844]
3336009536.349261,511.74926879939665,14927.615563017747,4356784702.4668865,0.30979561628550534,9535.097822053289,1740201695.141347,511.8539718679967,13030.290375479199,[-2254 -2726  -445 ...  1310  1155  1555]
6479011182.013415,511.5997120205203,17040.5341486955,6865583159.536942,0.464329159653819,10964.1388772959,4606882828.27891,511.75789906844955,15362.15188213034,[-2811 -4681 -4163 ...  1132  1003   645]
7340756988.668589,506.1586821449266,17235.880574195733,8438758153.980563,7.590915946785977,12879.801042602021,4936092446.455385,508.39609343576063,15126.832276634108,[-2302 -2698 -2022 ...  1343   742  1767]
8901566336.039408,509.0001644610247,23084.5316621013,9786363667.678785,2.2787590050748507,12967.919330064673,5619778549.449898,509.6686507296438,20593.381238978032,[ 259  161  376 ... -241 -275 -227]
16045003284.045788,509.6114379603525,42060.53660195736,10538515800.436354,1.3895999587392722,20366.807167622876,13141021911.849628,510.0204062656391,38800.32041197574,[-4797 -7370 -6921 ...  4330  4541  2251]
10092999040.285032,509.59037917571925,24308.35835373765,10086193991.988874,2.4789287244537053,13229.734809024809,7891906171.639906,510.1974344707825,21854.16873329982,[3866 6018 5290 ... 3088 3321 2807]
6210555486.970896,507.9789376572793,19649.47534405783,8243257567.279495,2.638574526689048,12090.553033622362,4185203792.687834,508.59008749811176,16832.27140920388,[ 4702  5403  3063 ... -3540 -2947 -3389]
10468535646.003342,508.97739362177384,22434.07949203277,11539233764.091425,4.268305582146652,13979.274800874315,7972703210.590204,510.4066163160045,20087.594535999277,[-772 -995 -801 ...  224    8 -291]
9750175131.553585,507.8603663979688,21780.41099859482,8277136463.047423,3.95008477027814,13191.612843650058,8134523642.345575,509.00353941569534,19381.719930473337,[ 4093  6370  5515 ... -2622 -3112 -3036]
12240934002.13873,509.1847455048317,34148.82674745062,12876940905.433556,2.855525289681855,12903.506895796769,9222502410.498928,509.95009485713706,32757.95086697131,[1072  924 -306 ...  214 1094 1708]
15455366539.82381,510.53991967335907,37201.89792609843,9989505725.016525,1.232350047122684,17845.415711725447,13170900125.570189,510.8789911667649,34981.84226579864,[-1260 -1881 -1413 ...   845   845  2093]
6220664223.149463,508.2865072958949,21301.96977232632,5565222595.671864,2.903774399337882,12877.484720523933,5659217475.297126,509.0859881184518,18504.08224637598,[ -420   423   994 ... -1685 -2229 -1725]
7950473185.698909,509.3352703964185,21914.17272156322,9636107250.705729,2.6084011603289,14549.218288356296,6215999867.866098,510.074643868433,18826.655506032163,[-3106 -5026 -4716 ...  -127  2045  5492]
8336519044.998461,509.165480272025,21974.76568894736,9632214595.013954,4.026943555348727,14416.159874961839,6849509386.678158,510.170633950664,18454.36657683411,[ -64  -95 -111 ... 9692 7801 6075]
9360246470.3015,509.51364704132027,23059.993106432743,9219202092.661531,2.492421508036807,15047.755747581898,7186059736.723305,510.22497625987216,19350.187676874084,[ -325 -1083  -916 ... -3961 -5079 -3875]
9455070502.004961,507.3305434182244,20250.762884502925,14227091526.474737,5.2181160288975175,14694.691443512078,4856617816.151579,509.0122612019783,16556.317260090815,[-2102 -3560 -3526 ...  4496  3441  2593]
3012433592.322948,511.6342915843443,10963.451889142969,4119350067.2783165,0.5182360639320905,9221.339382924976,1864628861.8508177,511.79813922947085,8718.551976048371,[ 384  625  646 ... 1949 1787 1441]
5493001472.826105,511.716591908465,15834.447926276644,7318250942.759742,0.2710132043080443,11197.030875676808,3772878865.9453974,511.8011637582959,12607.988286644397,[  -88  -166   -86 ... -3814 -4012 -3918]
3363632248.786351,511.64113768214867,12121.481613132542,4629676266.276828,0.38822795579344654,9136.247719347357,2287141099.7458353,511.75385585042966,10030.205757602256,[  83   95  222 ... -437 -556 -568]
4514274752.776566,511.62191735775195,13819.238743494596,7337900555.25773,0.4209101159039339,10672.48735227817,2123250510.0669022,511.7567696018085,10476.334586606565,[-411 -532   70 ... -367   -3  467]
